"","movie_title","release_date","genre","mpaa_rating","total_gross","inflation_adjusted_gross","release_year"
"137","The Jerky Boys",1995-02-03,"Comedy","R",7555256,14641561,1995
"138","Heavy Weights",1995-02-17,"Comedy","PG",17671310,34245779,1995
"139","Man of the House",1995-03-03,"Comedy","PG",40029009,77573459,1995
"140","Roommates",1995-03-03,"Comedy","PG",12076989,23404369,1995
"141","Tall Tale",1995-03-24,"Western","PG",8247627,15983331,1995
"142","A Pyromaniac's Love Story",1995-03-28,"Romantic Comedy","PG",468240,907414,1995
"143","Jefferson in Paris",1995-03-31,"Drama","PG-13",2461628,4770461,1995
"144","Funny Bones",1995-03-31,"Comedy","R",529135,1025425,1995
"145","A Goofy Movie",1995-04-07,"Comedy","G",35336439,68479579,1995
"146","While You Were Sleeping",1995-04-21,"Romantic Comedy","PG",81057016,157082900,1995
"147","Crimson Tide",1995-05-12,"Action","R",91387195,177102077,1995
"148","Mad Love",1995-05-26,"Drama","PG-13",15446532,29934306,1995
"149","Pocahontas",1995-06-10,"Adventure","G",141579773,274370957,1995
"150","Judge Dredd",1995-06-30,"Action","R",34687912,67222776,1995
"151","Operation Dumbo Drop",1995-07-28,"Adventure","PG",24670346,47809421,1995
"152","Dangerous Minds",1995-08-11,"Drama","R",84919401,164552293,1995
"153","A Kid in King Arthur's Court",1995-08-11,"Adventure","PG",13406717,25981285,1995
"154","The Tie That Binds",1995-09-08,"Thriller/Suspense","R",5762795,11167895,1995
"155","Unstrung Heroes",1995-09-15,"Drama","PG",7929000,15365850,1995
"156","The Big Green",1995-09-29,"Comedy","PG",17736619,34372339,1995
"157","Dead Presidents",1995-10-04,"Drama","R",24120194,46741467,1995
"158","The Scarlet Letter",1995-10-13,"Drama","R",10359006,20075033,1995
"159","Feast of July",1995-10-13,"Drama","R",293274,568342,1995
"160","Powder",1995-10-27,"Drama","PG-13",30833914,59727216,1995
"161","Toy Story",1995-11-22,"Adventure","G",191796233,370409631,1995
"162","Father of the Bride Part II",1995-12-08,"Comedy","PG",76578911,147658438,1995
"163","Nixon",1995-12-20,"Drama","R",13668249,26302005,1995
"164","Tom and Huck",1995-12-22,"Adventure","PG",23837227,45911517,1995
"165","Mr. Holland's Opus",1995-12-29,"Drama","PG",82582604,157508868,1995
"166","White Squall",1996-02-02,"Adventure","PG-13",10229300,19509726,1996
"167","Muppet Treasure Island",1996-02-16,"Adventure","G",34327391,65470567,1996
"168","Mr. Wrong",1996-02-16,"Romantic Comedy","PG-13",12805071,24422334,1996
"169","Before and After",1996-02-23,"Drama","PG-13",8642118,16482589,1996
"170","Up Close & Personal",1996-03-01,"Drama","PG-13",51045801,97356578,1996
"171","Homeward Bound II: Lost in San Franc…",1996-03-08,"Adventure","G",32709423,62384706,1996
"172","Two Much",1996-03-15,"Romantic Comedy","PG-13",1078555,2057055,1996
"173","Un indien dans la ville",1996-03-22,"Comedy","PG",1029731,1963937,1996
"174","James and the Giant Peach",1996-04-12,"Adventure","PG",28921264,55159783,1996
"175","Celtic Pride",1996-04-19,"Comedy","PG-13",9240378,17623615,1996
"176","Last Dance",1996-05-03,"Drama","R",5857534,11171714,1996
"177","Boys",1996-05-10,"Drama","PG-13",21930418,41826566,1996
"178","Spy Hard",1996-05-24,"Comedy","PG-13",26936265,51373912,1996
"179","Eddie",1996-05-31,"Comedy","PG-13",31369401,59828966,1996
"180","The Rock",1996-06-07,"Action","R",134069511,255702705,1996
"181","The Hunchback of Notre Dame",1996-06-21,"Adventure","G",100138851,190988799,1996
"182","Phenomenon",1996-07-05,"Drama","PG",104636382,199559799,1996
"183","Kazaam",1996-07-17,"Comedy","PG",18880508,36009655,1996
"184","Jack",1996-08-09,"Drama","PG-13",58617334,111792852,1996
"185","First Kid",1996-08-30,"Comedy","PG",26465920,50465108,1996
"186","The Rich Man's Wife",1996-09-13,"Thriller/Suspense","R",8538318,16284619,1996
"187","D3: The Mighty Ducks",1996-10-04,"Comedy","PG",22936273,43713554,1996
"188","The Associate",1996-10-25,"Comedy","PG-13",12772657,24333094,1996
"189","Ransom",1996-11-08,"Action","R",136492681,259807820,1996
"190","101 Dalmatians",1996-11-27,"Comedy","G",136189294,258728898,1996
"191","The Preacher's Wife",1996-12-13,"Drama","PG",48102795,91076877,1996
"192","Evita",1996-12-25,"Musical","PG",50047179,92077628,1996
"193","Metro",1997-01-17,"Action","R",32017895,58804106,1997
"194","Prefontaine",1997-01-24,"Drama","PG-13",590817,1085093,1997
"195","Shadow Conspiracy",1997-01-31,"Thriller/Suspense","R",2154540,3957025,1997
"196","That Darn Cat",1997-02-14,"Comedy","PG",18301828,33613158,1997
"197","Jungle 2 Jungle",1997-03-07,"Comedy","PG",59925026,110058379,1997
"198","The Sixth Man",1997-03-28,"Comedy","PG-13",14765099,27117599,1997
"199","Grosse Pointe Blank",1997-04-11,"Black Comedy","R",28084357,51579764,1997
"200","Romy and Michele's High School Reunion",1997-04-25,"Comedy","R",29235353,53693680,1997
"201","Gone Fishin'",1997-05-30,"Comedy","PG",19745922,36265379,1997
"202","Con Air",1997-06-06,"Action","R",101117573,185712664,1997
